loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,addr_state,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,application_type,mort_acc,pub_rec_bankruptcies,fico_range_low,fico_range_high,earliest_cr_line
18975.0,18975.0, 60 months,24.5,551.4,F,F3,4 years,RENT,56000.0,Verified,other,NY,2.94,0.0,2.0,5.0,1.0,1585.0,17.0,8.0,Individual,0.0,0.0,680.0,684.0,Nov-2007
8000.0,8000.0, 36 months,14.99,277.29,C,C5,8 years,RENT,45000.0,Verified,credit_card,PA,18.48,0.0,1.0,8.0,0.0,13674.0,97.0,15.0,Individual,0.0,0.0,660.0,664.0,Oct-2002
15000.0,15000.0, 60 months,8.39,306.96,A,A5,10+ years,MORTGAGE,132000.0,Source Verified,credit_card,MD,20.92,0.0,2.0,16.0,0.0,137063.0,60.4,35.0,Individual,7.0,0.0,705.0,709.0,Apr-2003
4000.0,4000.0, 36 months,12.49,133.8,B,B5,6 years,MORTGAGE,25000.0,Not Verified,other,NC,5.71,0.0,0.0,7.0,0.0,946.0,22.0,17.0,Individual,2.0,0.0,720.0,724.0,Sep-2001
7200.0,7200.0, 36 months,12.99,242.57,C,C1,< 1 year,RENT,75000.0,Source Verified,credit_card,TX,14.86,1.0,1.0,8.0,0.0,3966.0,25.9,29.0,Individual,1.0,0.0,690.0,694.0,Dec-1999
10000.0,10000.0, 36 months,13.98,341.68,C,C3,2 years,RENT,60000.0,Source Verified,debt_consolidation,MI,12.44,0.0,1.0,7.0,1.0,5516.0,67.3,51.0,Individual,1.0,1.0,660.0,664.0,Dec-2001
25000.0,25000.0, 36 months,6.49,766.12,A,A2,2 years,MORTGAGE,60000.0,Source Verified,debt_consolidation,NJ,13.56,0.0,0.0,8.0,0.0,30142.0,58.4,17.0,Individual,2.0,0.0,730.0,734.0,May-2002
11200.0,11200.0, 36 months,13.35,379.27,C,C2,10+ years,OWN,36000.0,Not Verified,moving,OH,28.97,0.0,2.0,6.0,0.0,1444.0,11.1,19.0,Individual,2.0,0.0,725.0,729.0,Oct-1993
18000.0,18000.0, 36 months,14.99,623.89,C,C5,10+ years,RENT,85960.0,Verified,moving,NJ,3.53,0.0,0.0,6.0,0.0,4309.0,34.7,32.0,Individual,0.0,0.0,660.0,664.0,Apr-1996
11000.0,11000.0, 36 months,7.49,342.12,A,A4,9 years,MORTGAGE,63000.0,Source Verified,debt_consolidation,NY,8.76,0.0,1.0,8.0,0.0,96455.0,26.7,35.0,Individual,3.0,0.0,700.0,704.0,Apr-1985
14000.0,14000.0, 36 months,12.49,468.29,B,B5,2 years,MORTGAGE,68500.0,Not Verified,debt_consolidation,CA,17.2,1.0,0.0,13.0,0.0,14082.0,48.4,24.0,Individual,2.0,0.0,685.0,689.0,Sep-1999
15000.0,15000.0, 60 months,11.99,333.6,B,B5,10+ years,MORTGAGE,90000.0,Not Verified,credit_card,OK,18.96,0.0,3.0,9.0,1.0,10954.0,44.9,15.0,Individual,0.0,1.0,685.0,689.0,Sep-2002
5000.0,5000.0, 36 months,8.39,157.59,A,A5,,MORTGAGE,25000.0,Verified,debt_consolidation,NC,16.83,0.0,0.0,8.0,0.0,10399.0,43.0,19.0,Individual,2.0,0.0,695.0,699.0,May-2000
5400.0,5400.0, 36 months,14.99,187.17,C,C5,,MORTGAGE,47000.0,Verified,other,CT,24.28,1.0,0.0,7.0,1.0,6683.0,65.5,24.0,Individual,2.0,1.0,660.0,664.0,Aug-1986
28000.0,28000.0, 60 months,14.49,658.65,C,C4,10+ years,MORTGAGE,100000.0,Source Verified,debt_consolidation,WI,21.74,0.0,0.0,14.0,0.0,34335.0,83.7,28.0,Individual,5.0,0.0,705.0,709.0,Mar-2001
32225.0,32225.0, 36 months,16.29,1137.56,D,D2,10+ years,RENT,76742.4,Verified,debt_consolidation,TX,12.92,3.0,0.0,3.0,0.0,3800.0,100.0,22.0,Individual,0.0,0.0,660.0,664.0,Feb-1998
13000.0,13000.0, 36 months,6.49,398.38,A,A2,10+ years,MORTGAGE,110000.0,Source Verified,credit_card,AR,23.23,0.0,0.0,23.0,0.0,43946.0,60.6,53.0,Individual,5.0,0.0,715.0,719.0,Jun-1992
20000.0,20000.0, 60 months,14.99,475.7,C,C5,7 years,RENT,74100.0,Source Verified,debt_consolidation,CA,22.91,0.0,0.0,14.0,0.0,30453.0,71.2,50.0,Individual,0.0,0.0,665.0,669.0,Aug-2001
2400.0,2400.0, 36 months,24.5,94.8,F,F3,3 years,RENT,55000.0,Source Verified,debt_consolidation,IL,14.11,0.0,2.0,15.0,0.0,3580.0,26.1,36.0,Individual,0.0,0.0,665.0,669.0,Apr-2006
19000.0,19000.0, 36 months,6.49,582.25,A,A2,10+ years,MORTGAGE,72000.0,Not Verified,credit_card,MA,13.12,1.0,0.0,5.0,0.0,20064.0,88.0,17.0,Individual,2.0,0.0,670.0,674.0,Aug-1998
10000.0,10000.0, 36 months,6.49,306.45,A,A2,10+ years,MORTGAGE,99000.0,Source Verified,debt_consolidation,TX,6.18,0.0,0.0,10.0,0.0,9048.0,11.6,50.0,Individual,3.0,0.0,795.0,799.0,Jan-1992
8000.0,8000.0, 36 months,13.35,270.91,C,C2,,RENT,20052.0,Verified,debt_consolidation,NY,12.21,0.0,0.0,6.0,0.0,6029.0,59.7,8.0,Individual,0.0,0.0,670.0,674.0,Aug-2006
5000.0,5000.0, 36 months,12.99,168.45,C,C2,10+ years,MORTGAGE,45000.0,Source Verified,medical,MO,30.0,0.0,0.0,9.0,1.0,4647.0,28.2,19.0,Individual,0.0,1.0,725.0,729.0,Jan-1997
18000.0,18000.0, 60 months,17.14,448.71,D,D4,1 year,RENT,65500.0,Source Verified,debt_consolidation,FL,25.67,0.0,0.0,8.0,0.0,8654.0,65.6,26.0,Individual,0.0,0.0,705.0,709.0,Oct-2001
16000.0,16000.0, 60 months,18.54,411.01,E,E1,10+ years,OWN,60000.0,Source Verified,debt_consolidation,LA,33.9,0.0,1.0,18.0,0.0,26849.0,70.7,31.0,Individual,0.0,0.0,670.0,674.0,Nov-1997
9000.0,9000.0, 36 months,13.98,307.52,C,C3,10+ years,MORTGAGE,47800.0,Verified,debt_consolidation,WA,8.94,2.0,0.0,4.0,0.0,5691.0,103.5,10.0,Individual,1.0,0.0,665.0,669.0,Oct-2002
35000.0,35000.0, 36 months,15.99,1230.33,D,D2,10+ years,RENT,94000.0,Verified,debt_consolidation,CA,16.3,0.0,0.0,13.0,0.0,25171.0,86.2,18.0,Individual,0.0,0.0,720.0,724.0,Sep-1990
4000.0,4000.0, 36 months,14.99,138.65,C,C5,,MORTGAGE,36000.0,Verified,debt_consolidation,MT,23.67,0.0,1.0,10.0,1.0,7087.0,59.1,27.0,Individual,4.0,1.0,660.0,664.0,Dec-1998
10350.0,10350.0, 60 months,19.52,271.46,E,E2,< 1 year,RENT,77650.0,Not Verified,debt_consolidation,CO,9.8,5.0,0.0,11.0,1.0,36.0,1.1,61.0,Individual,3.0,1.0,670.0,674.0,Jun-2003
18625.0,18625.0, 36 months,18.99,682.63,E,E1,6 years,OWN,110000.0,Source Verified,other,TX,38.23,0.0,3.0,22.0,0.0,21331.0,59.3,30.0,Individual,0.0,0.0,680.0,684.0,Feb-1988
6000.0,6000.0, 36 months,11.67,198.35,B,B4,3 years,OWN,180000.0,Not Verified,home_improvement,LA,9.27,0.0,0.0,13.0,0.0,27807.0,45.1,24.0,Individual,5.0,0.0,685.0,689.0,Aug-1990
9200.0,9200.0, 36 months,12.99,309.95,C,C1,9 years,RENT,45000.0,Verified,debt_consolidation,NY,6.03,0.0,2.0,4.0,0.0,9724.0,65.3,15.0,Individual,0.0,0.0,690.0,694.0,Mar-1994
8700.0,8700.0, 36 months,7.12,269.11,A,A3,10+ years,RENT,90044.0,Source Verified,debt_consolidation,NY,11.94,0.0,1.0,10.0,0.0,2836.0,4.2,27.0,Individual,0.0,0.0,790.0,794.0,Oct-1993
35000.0,35000.0, 36 months,18.99,1282.79,E,E1,10+ years,MORTGAGE,114000.0,Verified,debt_consolidation,MD,20.64,0.0,0.0,19.0,0.0,38410.0,55.5,40.0,Individual,3.0,0.0,695.0,699.0,Jul-1996
4000.0,4000.0, 36 months,12.99,134.76,C,C1,2 years,RENT,20000.0,Not Verified,debt_consolidation,NJ,10.74,0.0,0.0,8.0,1.0,2743.0,24.1,11.0,Individual,0.0,1.0,675.0,679.0,Jul-2003
8000.0,8000.0, 36 months,14.31,274.63,C,C4,10+ years,MORTGAGE,39000.0,Not Verified,credit_card,MO,39.96,0.0,0.0,14.0,1.0,4683.0,59.3,52.0,Individual,2.0,0.0,670.0,674.0,Oct-1995
20000.0,20000.0, 36 months,12.99,673.79,C,C1,6 years,RENT,70000.0,Source Verified,debt_consolidation,NY,17.47,0.0,1.0,9.0,0.0,15038.0,67.4,11.0,Individual,0.0,0.0,675.0,679.0,Dec-1998
10000.0,10000.0, 36 months,12.99,336.9,C,C1,10+ years,RENT,54240.0,Source Verified,other,CA,19.89,1.0,0.0,15.0,1.0,2274.0,15.9,37.0,Individual,1.0,1.0,665.0,669.0,Nov-1995
10000.0,10000.0, 60 months,16.29,244.73,D,D2,3 years,MORTGAGE,91000.0,Source Verified,debt_consolidation,IL,25.83,6.0,1.0,11.0,0.0,6374.0,67.1,34.0,Individual,4.0,0.0,660.0,664.0,Apr-2003
3350.0,3350.0, 36 months,7.69,104.5,A,A4,< 1 year,RENT,72500.0,Not Verified,debt_consolidation,OH,14.73,0.0,0.0,10.0,0.0,14944.0,70.5,14.0,Individual,0.0,0.0,675.0,679.0,Jan-2005
16000.0,16000.0, 36 months,11.67,528.92,B,B4,3 years,MORTGAGE,55000.0,Verified,debt_consolidation,AZ,9.32,0.0,0.0,6.0,1.0,7048.0,72.7,8.0,Individual,0.0,0.0,665.0,669.0,Apr-2002
5000.0,5000.0, 36 months,12.39,167.01,C,C1,10+ years,MORTGAGE,91673.0,Not Verified,home_improvement,CA,14.36,0.0,2.0,15.0,0.0,17169.0,44.4,37.0,Individual,7.0,0.0,695.0,699.0,Dec-1977
18000.0,18000.0, 36 months,8.39,567.3,A,A5,4 years,RENT,60000.0,Verified,car,HI,0.0,0.0,0.0,7.0,0.0,0.0,0.0,60.0,Individual,0.0,0.0,665.0,669.0,Nov-1985
12000.0,12000.0, 60 months,11.67,264.94,B,B4,10+ years,MORTGAGE,97500.0,Not Verified,debt_consolidation,MI,14.48,0.0,0.0,21.0,0.0,13553.0,18.6,41.0,Individual,5.0,0.0,775.0,779.0,Mar-1997
5000.0,5000.0, 36 months,6.03,152.18,A,A1,6 years,MORTGAGE,65000.0,Source Verified,debt_consolidation,FL,21.34,0.0,1.0,17.0,0.0,127515.0,8.4,55.0,Individual,3.0,0.0,815.0,819.0,Oct-1983
4000.0,4000.0, 36 months,12.99,134.76,C,C2,2 years,MORTGAGE,48240.0,Not Verified,debt_consolidation,CO,13.51,0.0,0.0,12.0,0.0,8533.0,57.3,21.0,Individual,1.0,0.0,675.0,679.0,Nov-2008
10000.0,10000.0, 36 months,6.49,306.45,A,A2,7 years,MORTGAGE,86000.0,Not Verified,credit_card,VA,10.23,0.0,0.0,8.0,0.0,8668.0,46.6,16.0,Individual,5.0,0.0,675.0,679.0,May-2004
35000.0,35000.0, 36 months,14.99,1213.12,C,C5,2 years,RENT,110000.0,Source Verified,credit_card,CA,14.04,0.0,1.0,21.0,0.0,36170.0,47.9,39.0,Individual,0.0,0.0,700.0,704.0,May-1997
10000.0,10000.0, 36 months,14.49,344.17,C,C4,10+ years,RENT,44000.0,Source Verified,debt_consolidation,TX,28.22,0.0,0.0,22.0,0.0,9340.0,96.3,29.0,Individual,0.0,0.0,660.0,664.0,Mar-2002
10700.0,10700.0, 36 months,14.99,370.87,C,C5,8 years,RENT,61000.0,Verified,credit_card,GA,13.89,0.0,0.0,8.0,0.0,30356.0,97.0,22.0,Individual,0.0,0.0,660.0,664.0,Jun-2000
18000.0,18000.0, 36 months,13.98,615.03,C,C3,3 years,MORTGAGE,110000.0,Verified,debt_consolidation,NC,9.99,0.0,0.0,16.0,0.0,12096.0,60.8,21.0,Individual,1.0,0.0,680.0,684.0,May-2010
26000.0,26000.0, 60 months,15.61,626.9,D,D1,7 years,MORTGAGE,73000.0,Source Verified,debt_consolidation,MN,16.95,0.0,0.0,25.0,0.0,20814.0,49.7,47.0,Individual,1.0,0.0,700.0,704.0,Aug-2000
8000.0,8000.0, 36 months,8.19,251.4,A,A5,,MORTGAGE,65000.0,Verified,medical,WV,20.94,0.0,0.0,8.0,0.0,5762.0,39.5,23.0,Individual,2.0,0.0,730.0,734.0,Mar-1998
7625.0,7625.0, 36 months,16.29,269.17,D,D2,,RENT,54000.0,Verified,debt_consolidation,WI,18.87,0.0,1.0,8.0,0.0,4960.0,74.0,15.0,Individual,0.0,0.0,660.0,664.0,Apr-2000
8000.0,8000.0, 36 months,12.99,269.52,C,C2,10+ years,OWN,97000.0,Not Verified,home_improvement,NY,16.07,0.0,1.0,16.0,0.0,20422.0,37.3,30.0,Individual,1.0,0.0,700.0,704.0,Nov-1987
24000.0,24000.0, 36 months,6.49,735.47,A,A2,5 years,RENT,120000.0,Verified,credit_card,NY,5.39,0.0,0.0,11.0,0.0,24756.0,62.4,16.0,Individual,0.0,0.0,690.0,694.0,Apr-2005
20000.0,20000.0, 36 months,12.99,673.79,C,C1,< 1 year,RENT,117000.0,Verified,debt_consolidation,LA,22.21,0.0,1.0,29.0,0.0,37414.0,56.3,45.0,Individual,2.0,0.0,660.0,664.0,Apr-1994
15000.0,15000.0, 36 months,10.15,485.07,B,B2,3 years,RENT,88000.0,Source Verified,debt_consolidation,CA,25.99,0.0,0.0,12.0,2.0,24336.0,81.7,36.0,Individual,0.0,0.0,660.0,664.0,Jul-1998
21550.0,21550.0, 36 months,17.57,774.45,D,D4,10+ years,RENT,54000.0,Source Verified,debt_consolidation,TX,36.38,0.0,0.0,14.0,0.0,17746.0,50.3,33.0,Individual,0.0,0.0,680.0,684.0,Oct-2004
10000.0,10000.0, 36 months,6.49,306.45,A,A2,8 years,RENT,44000.0,Not Verified,credit_card,CA,15.09,0.0,1.0,4.0,0.0,12771.0,60.0,14.0,Individual,0.0,0.0,715.0,719.0,Sep-2006
18000.0,18000.0, 60 months,14.31,421.73,C,C4,2 years,RENT,70000.0,Source Verified,debt_consolidation,WA,12.74,0.0,2.0,16.0,0.0,7307.0,43.8,21.0,Individual,0.0,0.0,690.0,694.0,Apr-2005
10000.0,10000.0, 36 months,12.99,336.9,C,C1,< 1 year,MORTGAGE,51000.0,Source Verified,debt_consolidation,CO,17.98,0.0,0.0,7.0,0.0,9830.0,84.7,12.0,Individual,3.0,0.0,680.0,684.0,Jan-2005
15000.0,15000.0, 36 months,13.35,507.95,C,C2,6 years,OWN,45000.0,Not Verified,credit_card,FL,11.69,0.0,1.0,19.0,0.0,12129.0,39.6,27.0,Individual,4.0,0.0,695.0,699.0,Dec-2000
5975.0,5975.0, 36 months,17.57,214.73,D,D4,1 year,MORTGAGE,50000.0,Source Verified,debt_consolidation,KY,18.1,0.0,1.0,7.0,0.0,38058.0,54.5,17.0,Individual,3.0,0.0,675.0,679.0,Jul-1995
15000.0,15000.0, 36 months,8.39,472.75,A,A5,6 years,MORTGAGE,70000.0,Not Verified,debt_consolidation,OH,6.23,0.0,3.0,21.0,0.0,20654.0,38.0,40.0,Individual,1.0,0.0,695.0,699.0,May-1999
7875.0,7875.0, 36 months,17.86,284.15,D,D5,10+ years,RENT,44000.0,Source Verified,debt_consolidation,CA,13.72,0.0,1.0,12.0,1.0,5852.0,39.8,25.0,Individual,0.0,1.0,660.0,664.0,Oct-2004
6025.0,6025.0, 36 months,18.24,218.55,D,D5,3 years,RENT,14500.0,Verified,credit_card,IN,27.98,0.0,0.0,9.0,0.0,6890.0,33.3,13.0,Individual,0.0,0.0,700.0,704.0,Sep-2008
7800.0,7800.0, 36 months,19.52,287.98,E,E2,4 years,MORTGAGE,30000.0,Verified,other,FL,37.76,0.0,1.0,12.0,0.0,3757.0,24.2,27.0,Individual,0.0,0.0,695.0,699.0,May-2003
14300.0,14300.0, 60 months,24.99,419.65,F,F4,2 years,RENT,80000.0,Source Verified,debt_consolidation,PA,9.75,0.0,3.0,20.0,1.0,12830.0,54.8,47.0,Individual,4.0,1.0,665.0,669.0,Oct-1998
12000.0,12000.0, 36 months,10.99,392.81,B,B3,10+ years,MORTGAGE,70000.0,Verified,debt_consolidation,TX,27.1,0.0,1.0,23.0,1.0,13611.0,31.0,55.0,Individual,1.0,1.0,670.0,674.0,Nov-1993
10000.0,10000.0, 36 months,10.49,324.98,B,B3,10+ years,MORTGAGE,42000.0,Not Verified,debt_consolidation,TX,19.69,0.0,0.0,7.0,0.0,4495.0,25.0,13.0,Individual,1.0,0.0,675.0,679.0,Feb-2008
15000.0,15000.0, 36 months,15.61,524.48,D,D1,4 years,RENT,52000.0,Not Verified,debt_consolidation,CA,27.81,2.0,0.0,13.0,1.0,9106.0,59.5,58.0,Individual,0.0,1.0,660.0,664.0,May-1999
35000.0,35000.0, 36 months,15.61,1223.77,D,D1,< 1 year,MORTGAGE,300000.0,Source Verified,debt_consolidation,TX,24.65,0.0,0.0,29.0,0.0,112448.0,88.6,45.0,Individual,18.0,0.0,695.0,699.0,Jun-1986
18225.0,18225.0, 36 months,13.35,617.15,C,C2,6 years,MORTGAGE,52000.0,Not Verified,credit_card,OK,28.32,3.0,0.0,21.0,0.0,17083.0,47.2,51.0,Individual,5.0,0.0,665.0,669.0,May-1999
12000.0,12000.0, 60 months,13.66,277.11,C,C3,10+ years,RENT,35000.0,Source Verified,debt_consolidation,CA,18.93,0.0,0.0,6.0,1.0,3473.0,34.4,10.0,Individual,0.0,1.0,710.0,714.0,Oct-1999
35000.0,35000.0, 60 months,17.57,880.61,D,D4,4 years,MORTGAGE,82000.0,Verified,debt_consolidation,NC,23.7,0.0,0.0,20.0,0.0,34599.0,70.8,34.0,Individual,2.0,0.0,680.0,684.0,Mar-2002
8500.0,8500.0, 36 months,13.35,287.84,C,C2,5 years,RENT,49000.0,Verified,credit_card,NJ,34.47,0.0,1.0,9.0,0.0,5671.0,22.0,15.0,Individual,0.0,0.0,730.0,734.0,Nov-2009
10000.0,10000.0, 36 months,10.15,323.38,B,B2,3 years,RENT,72000.0,Source Verified,debt_consolidation,MI,12.16,0.0,0.0,11.0,1.0,8735.0,55.6,30.0,Individual,0.0,1.0,675.0,679.0,Jan-1994
5000.0,5000.0, 36 months,14.31,171.65,C,C4,2 years,RENT,50000.0,Source Verified,other,MN,14.91,0.0,0.0,12.0,0.0,7475.0,91.2,18.0,Individual,0.0,0.0,685.0,689.0,Aug-2008
2500.0,2500.0, 36 months,12.99,84.23,C,C1,2 years,RENT,68000.0,Not Verified,credit_card,NY,10.98,2.0,0.0,7.0,0.0,2226.0,32.7,18.0,Individual,0.0,0.0,670.0,674.0,Sep-2005
27600.0,27600.0, 60 months,11.99,613.81,B,B5,10+ years,MORTGAGE,79480.0,Verified,debt_consolidation,NY,34.73,0.0,1.0,17.0,0.0,39781.0,88.2,41.0,Individual,7.0,0.0,675.0,679.0,Sep-1995
12000.0,12000.0, 36 months,12.49,401.39,B,B5,6 years,MORTGAGE,50000.0,Source Verified,debt_consolidation,OR,23.25,0.0,0.0,7.0,0.0,7558.0,94.5,19.0,Individual,1.0,0.0,715.0,719.0,Feb-1993
4450.0,4450.0, 36 months,20.99,167.64,E,E4,,OWN,9000.0,Verified,home_improvement,KS,35.33,0.0,0.0,6.0,0.0,8366.0,65.4,6.0,Individual,0.0,0.0,700.0,704.0,May-2007
5925.0,5925.0, 36 months,11.99,196.77,B,B5,2 years,RENT,80000.0,Not Verified,credit_card,PA,6.02,0.0,1.0,10.0,0.0,16881.0,41.3,25.0,Individual,0.0,0.0,660.0,664.0,Jul-2001
12000.0,12000.0, 36 months,11.44,395.37,B,B4,9 years,RENT,36275.2,Verified,credit_card,NY,16.21,0.0,1.0,23.0,0.0,12030.0,67.6,45.0,Individual,0.0,0.0,675.0,679.0,Jan-2002
16000.0,16000.0, 36 months,11.67,528.92,B,B4,< 1 year,MORTGAGE,60000.0,Not Verified,debt_consolidation,MT,8.58,0.0,0.0,4.0,0.0,10311.0,78.7,19.0,Individual,2.0,0.0,680.0,684.0,Sep-1997
12000.0,12000.0, 36 months,8.39,378.2,A,A5,10+ years,RENT,82000.0,Source Verified,credit_card,WA,20.78,0.0,0.0,9.0,1.0,12688.0,61.3,18.0,Individual,0.0,1.0,685.0,689.0,Jan-2003
10050.0,10050.0, 36 months,16.99,358.26,D,D3,4 years,MORTGAGE,28000.0,Not Verified,credit_card,CA,11.92,0.0,0.0,5.0,0.0,8657.0,93.1,5.0,Individual,0.0,0.0,685.0,689.0,Aug-2007
15000.0,15000.0, 36 months,6.49,459.67,A,A2,2 years,RENT,68000.0,Source Verified,credit_card,NJ,22.74,0.0,2.0,12.0,1.0,19600.0,51.2,35.0,Individual,2.0,0.0,700.0,704.0,Apr-1998
9250.0,9250.0, 36 months,20.99,348.45,E,E4,,OWN,31065.0,Verified,debt_consolidation,NY,24.84,0.0,0.0,12.0,0.0,7091.0,80.6,21.0,Individual,1.0,0.0,675.0,679.0,Aug-1990
8500.0,8500.0, 36 months,10.15,274.88,B,B2,10+ years,OWN,65000.0,Verified,credit_card,TX,16.73,0.0,0.0,4.0,0.0,14653.0,84.9,5.0,Individual,0.0,0.0,720.0,724.0,Sep-1988
9000.0,9000.0, 36 months,12.49,301.04,B,B5,,RENT,59000.0,Source Verified,debt_consolidation,CA,23.23,0.0,0.0,10.0,0.0,15335.0,74.4,16.0,Individual,0.0,0.0,665.0,669.0,Sep-2004
20200.0,20200.0, 36 months,16.99,720.09,D,D3,3 years,MORTGAGE,45000.0,Verified,other,TX,22.93,0.0,1.0,22.0,0.0,9726.0,29.2,30.0,Individual,3.0,0.0,755.0,759.0,Aug-1995
5000.0,5000.0, 36 months,14.99,173.31,C,C5,2 years,OWN,24000.0,Source Verified,debt_consolidation,NJ,30.85,0.0,0.0,6.0,0.0,8091.0,47.0,15.0,Individual,0.0,0.0,690.0,694.0,Aug-1995
4875.0,4875.0, 36 months,14.99,168.97,C,C5,,MORTGAGE,60000.0,Verified,debt_consolidation,CT,19.65,0.0,1.0,21.0,1.0,4340.0,15.8,24.0,Individual,1.0,0.0,695.0,699.0,Apr-2001
4000.0,4000.0, 36 months,18.99,146.61,E,E1,10+ years,RENT,72000.0,Not Verified,moving,TX,11.32,0.0,1.0,6.0,1.0,4802.0,54.6,19.0,Individual,0.0,0.0,675.0,679.0,Sep-1995
5000.0,5000.0, 36 months,12.99,168.45,C,C2,10+ years,RENT,60000.0,Source Verified,credit_card,NY,15.12,0.0,1.0,20.0,0.0,18138.0,84.4,25.0,Individual,0.0,0.0,665.0,669.0,Oct-1998
25000.0,25000.0, 60 months,19.99,662.21,E,E3,10+ years,RENT,81000.0,Source Verified,debt_consolidation,MN,20.24,0.0,0.0,12.0,1.0,5173.0,39.8,34.0,Individual,4.0,1.0,690.0,694.0,Sep-1998
6000.0,6000.0, 36 months,16.29,211.81,D,D2,3 years,RENT,53600.0,Not Verified,debt_consolidation,FL,18.74,1.0,0.0,23.0,0.0,4185.0,37.7,37.0,Individual,0.0,0.0,660.0,664.0,Apr-2003
14900.0,14900.0, 36 months,15.99,523.77,D,D2,10+ years,MORTGAGE,41570.0,Verified,credit_card,PA,35.42,0.0,0.0,9.0,1.0,7870.0,72.9,17.0,Individual,3.0,1.0,690.0,694.0,Nov-1981
15000.0,15000.0, 36 months,10.15,485.07,B,B2,10+ years,RENT,102000.0,Source Verified,credit_card,NY,9.78,0.0,0.0,7.0,1.0,20178.0,93.0,15.0,Individual,2.0,0.0,665.0,669.0,Apr-1999
8000.0,8000.0, 36 months,13.98,273.35,C,C3,2 years,RENT,100000.0,Source Verified,credit_card,NY,6.65,0.0,1.0,8.0,1.0,9560.0,64.2,11.0,Individual,0.0,0.0,665.0,669.0,Mar-2004
7300.0,7300.0, 36 months,14.99,253.03,C,C5,8 years,MORTGAGE,40000.0,Verified,debt_consolidation,OH,26.88,0.0,1.0,11.0,0.0,8267.0,40.0,13.0,Individual,1.0,0.0,685.0,689.0,Sep-2002
10000.0,10000.0, 36 months,16.29,353.01,D,D2,8 years,OWN,60000.0,Source Verified,debt_consolidation,MA,11.31,0.0,2.0,20.0,0.0,10676.0,23.7,27.0,Individual,1.0,0.0,710.0,714.0,Nov-2000
16000.0,16000.0, 60 months,15.59,385.62,D,D1,10+ years,RENT,40000.0,Source Verified,debt_consolidation,NY,25.8,0.0,1.0,16.0,0.0,29122.0,46.7,21.0,Individual,1.0,0.0,705.0,709.0,Sep-1999
